Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Kalium,Klorid,Kalcium,Fluorid,Magnesium,Natrium,Vitamin B12,Vitamin B6,Vitamin C,Riboflavin,Niacin,Pantotensyra,Biotin,Krom,Fiber,Folsyra,Vitamin D,Vitamin E,Selen,Zink,Fosfor,Koppar,Järn,Mangan,Varav polyoler,Vitamin A,Tiamin,Citronsyra,url
"Läsk Raspberry Zero 1,5l Fanta","27,90 kr","1.5L 18,60 kr/l exkl pant",2 kcal,7 kJ,0 g,0 g,0.2 g,0.2 g,0 g,0.03 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-raspberry-zero-1-5l-fanta/2037185
"Vatten Kolsyrat Mango Lime 1,5l Loka","15,90 kr","1.5L 10,60 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrat-mango-lime-1-5l-loka/2089692
Läsk Coca-Cola 1l,"24,90 kr","1L 24,90 kr/l exkl pant",42 kcal,180 kJ,0 g,0 g,10.6 g,10.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-coca-cola-1l/1445555
Läsk Zingo Apelsin Sockerfri 50cl,"18,90 kr","0.5L 37,80 kr/l exkl pant",3 kcal,13 kJ,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-zingo-apelsin-sockerfri-50cl/2073925
Lady grey te 25-p Twinings,"43,90 kr","25 per frp 1,76 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lady-grey-te-25-p-twinings/1487010
Läsk Trocamust Zero 33cl Trocadero,"9,90 kr","0.33L 30,00 kr/l exkl pant",2 kcal,8 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-trocamust-zero-33cl-trocadero/2118505
Te Chai herbal Ginger 20p Twinings,"51,00 kr","20 per frp 2,55 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/te-chai-herbal-ginger-20p-twinings/2139785
Kaffe Eco 450g KRAV Arvid Nordquist Selection,"117,00 kr","0.45kg 260,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-eco-450g-krav-arvid-nordquist-selection/1476392
Juice Äpple & Fläder Ekologisk 850ml God Morgon®,"43,90 kr","0.85L 51,65 kr/l exkl pant",45 kcal,196 kJ,0 g,0 g,11 g,10 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-%C3%A4pple-fl%C3%A4der-ekologisk-850ml-god-morgon/2018623
Taragui 500g Yerba Mate,"59,00 kr","0.5kg 118,00 kr/kg",61 kcal,256 kJ,0 g,0 g,12 g,0 g,3 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/taragui-500g-yerba-mate/1382292
Juice Brasilien Äpple Drakfrukt Guava Lime 1750ml Bravo,"53,00 kr","1.75L 30,29 kr/l",42 kcal,175 kJ,0 g,0 g,9.6 g,9.2 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-brasilien-%C3%A4pple-drakfrukt-guava-lime-1750ml-bravo/2141596
"Vatten Kolsyrat Päron 1,5l Ramlösa","18,90 kr","1.5L 12,60 kr/l exkl pant",,,,,,,,,2 mg,16 mg,3.5 mg,2.3 mg,0.8 mg,210 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrat-p%C3%A4ron-1-5l-raml%C3%B6sa/2073894
Bryggkaffe Blue Java 450g Zoegas,"104,00 kr","0.45kg 231,11 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-blue-java-450g-zoegas/2151444
Juice Apelsin Röd Grape 1l God Morgon®,"40,90 kr","1L 40,90 kr/l",41 kcal,171 kJ,0 g,0 g,8.4 g,7.9 g,0.7 g,0 g,,,,,,,,,23 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-apelsin-r%C3%B6d-grape-1l-god-morgon/1201739
"Vatten Kolsyrad Citrus 1,5l Ramlösa","18,90 kr","1.5L 12,60 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-citrus-1-5l-raml%C3%B6sa/1511489
Kaffe Ebony Mörkrost 450g Gevalia,"95,00 kr","0.45kg 211,11 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-ebony-m%C3%B6rkrost-450g-gevalia/2166097
Bryggkaffe Mellanmörk 450g Löfbergs,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-mellanm%C3%B6rk-450g-l%C3%B6fbergs/2032524
Läsk Aranciata 33cl San Pellegrino,"16,90 kr","0.33L 51,21 kr/l exkl pant",35 kcal,149 kJ,0 g,0 g,8.1 g,8.1 g,0.1 g,0 g,,,,,,,,,,,,,,,0 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-aranciata-33cl-san-pellegrino/2094885
Äppelcider Orginal 1l Herrljunga,"21,90 kr","1L 21,90 kr/l exkl pant",35 kcal,150 kJ,0 g,0 g,8.5 g,8.4 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4ppelcider-orginal-1l-herrljunga/1329126
Juice Orange Smooth utan fruktkött 900ml Tropicana,"46,90 kr","0.9L 52,11 kr/l exkl pant",40 kcal,172 kJ,0 g,0 g,9.3 g,8.6 g,0.8 g,0 g,200 mg,,,,,,,,30 mg,,,,,,0 g,13 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-orange-smooth-utan-fruktk%C3%B6tt-900ml-tropicana/2038988
Bryggkaffe Jubileum 450g Löfbergs,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-jubileum-450g-l%C3%B6fbergs/1476526
Läsk Orange 50cl Fanta zero,"19,90 kr","0.5L 39,80 kr/l exkl pant",3 kcal,11 kJ,0 g,0 g,0.4 g,0.4 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-orange-50cl-fanta-zero/2078556
Te Earl Grey 20-p KRAV Kung Markatta,"32,90 kr","20 per frp 1,65 kr/st",1 kcal,3 kJ,0 g,0 g,0.2 g,0.1 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/te-earl-grey-20-p-krav-kung-markatta/1441365
Hallon björnbär måltidsdryck 2dl ICA,"8,90 kr","1L 8,90 kr/l drickklar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hallon-bj%C3%B6rnb%C3%A4r-m%C3%A5ltidsdryck-2dl-ica/1514883
Kolsyrad Äpplemust Lemon Rose 33cl Mustly,"20,90 kr","0.33L 63,33 kr/l exkl pant",20 kcal,84 kJ,0 g,0 g,4.5 g,4.5 g,0.2 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolsyrad-%C3%A4pplemust-lemon-rose-33cl-mustly/2105104
Läsk Cola Zero Koffeinfri 150cl Coca-Cola,"27,90 kr","1.5L 18,60 kr/l exkl pant",0.3 kcal,1.4 kJ,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-cola-zero-koffeinfri-150cl-coca-cola/2105857
"Läsk Geléhallon Zero 1,5l Trocadero","22,90 kr","1.5L 15,27 kr/l exkl pant",2 kcal,8 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-gel%C3%A9hallon-zero-1-5l-trocadero/2125532
Kaffekapslar Espresso Onyx 10-p L´Or,"55,00 kr","10 per frp 5,50 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffekapslar-espresso-onyx-10-p-l-or/2032925
Läsk Citron Sockerfri 150cl Zingo,"25,90 kr","1.5L 17,27 kr/l exkl pant",3 kcal,12 kJ,0 g,0 g,0.5 g,0.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-citron-sockerfri-150cl-zingo/2110692
Energidryck Lewis Hamilton Zero Sockerfri 50cl Monster Energy,"21,90 kr","0.5L 43,80 kr/l exkl pant",3 kcal,12 kJ,0 g,0 g,0.8 g,0 g,0 g,0.16 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-lewis-hamilton-zero-sockerfri-50cl-monster-energy/2105671
Kaffe Amigas Mörkrost 450g Arvid Nordquist,"117,00 kr","0.45kg 260,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-amigas-m%C3%B6rkrost-450g-arvid-nordquist/1527007
Bryggkaffe Mellanrost 450g ICA,"82,00 kr","0.45kg 182,22 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-mellanrost-450g-ica/2074972
Kombucha 330ml Strawberry Humm,"31,90 kr","0.33L 96,67 kr/l exkl pant",20 kcal,84 kJ,0 g,0 g,4 g,4 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kombucha-330ml-strawberry-humm/2115231
Fruktdryck Strawsome Lemonad 850ml Brämhults,"51,00 kr","0.85L 60,00 kr/l exkl pant",41 kcal,172 kJ,0 g,0 g,9.4 g,9.2 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-strawsome-lemonad-850ml-br%C3%A4mhults/2151322
"Läsk Apelsin 1,5l Zingo","25,90 kr","1.5L 17,27 kr/l exkl pant",47 kcal,197 kJ,0 g,0 g,11 g,11 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-apelsin-1-5l-zingo/1129412
Kolsyrad Äpplemust Green Apple 33cl Mustly,"20,90 kr","0.33L 63,33 kr/l exkl pant",20 kcal,84 kJ,0 g,0 g,4.5 g,4.5 g,0.2 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolsyrad-%C3%A4pplemust-green-apple-33cl-mustly/2105103
Energidryck Nitro Cosmic Peach 50cl Monster,"21,90 kr","0.5L 43,80 kr/l exkl pant",,,,,,,,,,,,,,,2.5 µg,0.8 mg,,0.7 mg,8.5 mg,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-nitro-cosmic-peach-50cl-monster/2117294
Kolsyrat Vatten Hallon Äpple 150cl Ramlösa,"17,90 kr","1.5L 11,93 kr/l exkl pant",,,,,,,,,4 mg,39 mg,100 mg,0.2 mg,11.5 mg,16 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolsyrat-vatten-hallon-%C3%A4pple-150cl-raml%C3%B6sa/2104993
"Kolsyrat Vatten Persika Päron 1,5l Loka","15,90 kr","1.5L 10,60 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolsyrat-vatten-persika-p%C3%A4ron-1-5l-loka/2149182
Läsk Cola Zero 1l Coca-Cola,"24,90 kr","1L 24,90 kr/l exkl pant",0.3 kcal,1.3 kJ,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-cola-zero-1l-coca-cola/1445558
"Vatten Granatäpple Lime 1,5l ICA","11,90 kr","1.5L 7,93 kr/l exkl pant",,,,,,,,,5 mg,49 mg,65 mg,1.3 mg,15 mg,21 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-granat%C3%A4pple-lime-1-5l-ica/2074690
Bryggkaffe Skånerost 450g Zoegas,"104,00 kr","0.45kg 231,11 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-sk%C3%A5nerost-450g-zoegas/2151441
Läsk Ginger Ale 50cl Schweppes,"19,90 kr","0.5L 39,80 kr/l exkl pant",19 kcal,83 kJ,0 g,0 g,4.6 g,4.6 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-ginger-ale-50cl-schweppes/2149407
Läsk Crush Hallon 50cl Loka,"17,90 kr","0.5L 35,80 kr/l exkl pant",19 kcal,82 kJ,0.5 g,0 g,5 g,4 g,0.5 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-crush-hallon-50cl-loka/1467566
"Vatten Kolsyrad Fläder & lime 1,5l Ramlösa","18,90 kr","1.5L 12,60 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-fl%C3%A4der-lime-1-5l-raml%C3%B6sa/1511491
Kaffe Peru Hela bönor Ekologisk 450g ICA I love eco,"113,00 kr","0.45kg 251,11 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-peru-hela-b%C3%B6nor-ekologisk-450g-ica-i-love-eco/2021783
Juice Blåbär Svartvinbär 900ml Innocent,"47,90 kr","0.9L 53,22 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-bl%C3%A5b%C3%A4r-svartvinb%C3%A4r-900ml-innocent/2052877
Saft Taste of Mojito 0.8l Zeroh,"37,90 kr","8L 4,74 kr/l exkl pant",0.8 kcal,3.2 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/saft-taste-of-mojito-0-8l-zeroh/2156646
Kaffe GranDia Hela bönor 500g Arvid Nordquist,"118,00 kr","0.5kg 236,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-grandia-hela-b%C3%B6nor-500g-arvid-nordquist/1396253
"Fruktdryck Crush Hallon 1,4l Loka","28,90 kr","1.4L 20,64 kr/l exkl pant",19 kcal,82 kJ,0.5 g,0 g,5 g,4 g,0.5 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-crush-hallon-1-4l-loka/1467615
"Chokladmjölk Ljus Pucko® 1,5% 1l Cocio","33,90 kr","1L 33,90 kr/l",65 kcal,272 kJ,1.5 g,1 g,9 g,8.9 g,3.6 g,0.08 g,,,119 mg,,,,,,,,,,,,,,1 µg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladmj%C3%B6lk-ljus-pucko-1-5-1l-cocio/1431937
Lightdryck Citrus Sockerfri 80cl Zeroh,"38,90 kr","8L 4,86 kr/l exkl pant",0.6 kcal,2.7 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-citrus-sockerfri-80cl-zeroh/2105123
Kaffekapslar Lungo 10 Estremo 10-p L'Or,"55,00 kr","10 per frp 5,50 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffekapslar-lungo-10-estremo-10-p-l-or/2032539
Choco Latte ICE 230ml Löfbergs,"25,90 kr","0.23L 112,61 kr/l",58 kcal,244 kJ,2.8 g,1.8 g,4.8 g,4.3 g,3.4 g,0.18 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choco-latte-ice-230ml-l%C3%B6fbergs/2101650
Läsk Exotic 50cl Fanta Zero,"19,90 kr","0.5L 39,80 kr/l exkl pant",3 kcal,12 kJ,0 g,0 g,0.5 g,0.4 g,0 g,0.02 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-exotic-50cl-fanta-zero/2126281
"Öl 2,8% 50cl 6-p Pripps Blå","45,00 kr","3L 15,00 kr/l exkl pant",28 kcal,119 kJ,0 g,0 g,3 g,0 g,0.3 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-2-8-50cl-6-p-pripps-bl%C3%A5/1399944
Lightdryck Mango Lemon Sockerfri 80cl Zeroh!,"38,90 kr","8L 4,86 kr/l exkl pant",0.7 kcal,3 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-mango-lemon-sockerfri-80cl-zeroh/2074524
Smoothie Antioxidant 300ml Innocent,"33,90 kr","0.3L 113,00 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-antioxidant-300ml-innocent/2057759
Vätskeersättning Mangosmak 90g Resorb,"70,00 kr","0.09kg 777,78 kr/kg",,,,,6 g,5.8 g,,,188 mg,200 mg,,,,188 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A4tskeers%C3%A4ttning-mangosmak-90g-resorb/2105368
Shot Ingefära 65ml RÅ,"15,90 kr","0.065L 244,62 kr/l",38 kcal,163 kJ,0 g,0 g,7 g,6 g,0.5 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/shot-ingef%C3%A4ra-65ml-r%C3%A5/2107610
Chokladdryck Vattenlöslig Portionsförpackning 10-p O'boy,"40,90 kr","10 per frp 4,09 kr/st",365 kcal,1560 kJ,1.4 g,0.8 g,65 g,63 g,21.5 g,1.25 g,,,,,,,,,,,,,,,2.7 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladdryck-vattenl%C3%B6slig-portionsf%C3%B6rpackning-10-p-o-boy/1428597
"Lingondryck Koncentrat 2,5dl Jokk","30,90 kr","1L 30,90 kr/l drickklar",40 kcal,170 kJ,0 g,0 g,9.8 g,9.8 g,0 g,0 g,,,,,,,,,50 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lingondryck-koncentrat-2-5dl-jokk/1269851
Vatten Kolsyrat Hallon Rabarber 50cl Loka,"15,90 kr","0.5L 31,80 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrat-hallon-rabarber-50cl-loka/2125525
Läsk Trocamust 33cl Trocadero,"9,90 kr","0.33L 30,00 kr/l exkl pant",40 kcal,169 kJ,0 g,0 g,9.7 g,9.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-trocamust-33cl-trocadero/2118499
Snabbkaffe Fair Fresh Ekologisk 100g Fairtrade Löfbergs,"74,00 kr","0.1kg 740,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snabbkaffe-fair-fresh-ekologisk-100g-fairtrade-l%C3%B6fbergs/2022112
"Läsk Grapefruit Tonic 1,4l Grappo","26,90 kr","1.4L 19,21 kr/l exkl pant",40 kcal,165 kJ,0 g,0 g,9.5 g,9.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-grapefruit-tonic-1-4l-grappo/1249042
Energidryck Päron 33cl Nocco,"26,90 kr","0.33L 81,52 kr/l exkl pant",4 kcal,15 kJ,0.9 g,0 g,0 g,0 g,0.9 g,0 g,,,,,,,0.8 µg,0.42 mg,,,3.9 mg,,15 µg,,0 g,30 µg,1.5 µg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-p%C3%A4ron-33cl-nocco/1485476
Juice Apelsin 850ml God Morgon®,"47,90 kr","0.85L 56,35 kr/l exkl pant",43 kcal,180 kJ,0 g,0 g,8.8 g,8.5 g,0 g,0 g,,,,,,,,,25 mg,,,,,,,21.8 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-apelsin-850ml-god-morgon/2151837
Fruktdryck Blueberry Pear 50cl Festis,"17,90 kr","0.5L 35,80 kr/l exkl pant",3 kcal,12 kJ,0 g,0 g,0.5 g,0.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-blueberry-pear-50cl-festis/2056012
Kaffefilter Orginal Vit 1x4 80-p Miljömärkt Melitta,"29,90 kr","80 per frp 0,37 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffefilter-orginal-vit-1x4-80-p-milj%C3%B6m%C3%A4rkt-melitta/1294333
Energidryck Fall Edition 2025 330cl Nocco,"26,90 kr","0.33L 81,52 kr/l exkl pant",2 kcal,9 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,0.76 µg,0.42 mg,,,3.9 mg,,15 µg,,0 g,30 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-fall-edition-2025-330cl-nocco/2166483
Läsk Exotic 50cl Fanta,"19,90 kr","0.5L 39,80 kr/l exkl pant",53 kcal,227 kJ,0 g,0 g,13.2 g,13.2 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-exotic-50cl-fanta/1001474
Kaffe Hela bönor Mellanrost Fika 400g Löfbergs,"109,00 kr","0.4kg 272,50 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-hela-b%C3%B6nor-mellanrost-fika-400g-l%C3%B6fbergs/2022103
"Öl 3,5% 50cl 6-p Norrlands Guld","91,00 kr","3L 30,33 kr/l exkl pant",33 kcal,137 kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-3-5-50cl-6-p-norrlands-guld/1397715
"Öl 3,5% 44cl 4-p Guinness","99,00 kr","1.76L 56,25 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-3-5-44cl-4-p-guinness/1399912
Kombucha Päron 330ml Humm,"31,90 kr","0.33L 96,67 kr/l",21 kcal,91 kJ,0 g,0 g,4.8 g,4.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kombucha-p%C3%A4ron-330ml-humm/2141592
"Läskdryck Vindruva,Hallon,Svartavinbär 50cl Vimto","21,90 kr","0.5L 43,80 kr/l exkl pant",44 kcal,184 kJ,0 g,0 g,11 g,11 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4skdryck-vindruva-hallon-svartavinb%C3%A4r-50cl-vimto/2155262
Iste Lemon 52g Lipton,"13,90 kr","0.052kg 267,31 kr/kg",21 kcal,86 kJ,0.5 g,0.1 g,4.9 g,4.8 g,0.5 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iste-lemon-52g-lipton/2139043
Kolsyrat Vatten Grönt Äpple 50cl Ramlösa,"15,90 kr","0.5L 31,80 kr/l exkl pant",,,,,,,,,2 mg,16 mg,3.5 mg,2.3 mg,0.8 mg,210 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolsyrat-vatten-gr%C3%B6nt-%C3%A4pple-50cl-raml%C3%B6sa/2149184
Lättdryck Svarta vinbär Koncentrat 2dl Kiviks,"10,90 kr","1L 10,90 kr/l drickklar",30 kcal,140 kJ,0 g,0 g,7.8 g,7.8 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttdryck-svarta-vinb%C3%A4r-koncentrat-2dl-kiviks/1023281
Bryggkaffe Intenzo 450g Zoegas,"104,00 kr","0.45kg 231,11 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-intenzo-450g-zoegas/2151442
Lightdryck Wild raspberry Sockerfri 80cl Zeroh!,"38,90 kr","8L 4,86 kr/l exkl pant",0.7 kcal,3.2 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-wild-raspberry-sockerfri-80cl-zeroh/2031087
