Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Vitamin B12,Vitamin D,Kalcium,Varav fleromättat fett,Varav enkelomättat fett,Vitamin A,Fiber,Vitamin C,Riboflavin,Jod,Pantotensyra,Kalium,Klorid,Fosfor,Molybden,Vitamin K,Natrium,Vitamin E,Magnesium,Selen,Zink,Folsyra,Järn,Vitamin B6,Niacin,Biotin,Tiamin,Varav polyoler,url
"Färsk lantmjölk 3,8-4,5% Ekologisk 1l Arla Ko®","24,90 kr","1L 24,90 kr/l",70 kcal,291 kJ,4.2 g,2.7 g,4.6 g,4.6 g,3.4 g,0.09 g,0.4 µg,,124 mg,,,,,,0.14 mg,,0.5 mg,160 mg,92 mg,139 mg,3.8 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rsk-lantmj%C3%B6lk-3-8-4-5-ekologisk-1l-arla-ko/1398306
Havredryck iKaffe Popcorn 1000ml Oatly,"32,90 kr","1L 32,90 kr/l",70 kcal,293 kJ,3.2 g,0.3 g,8.8 g,5.1 g,1.1 g,0.19 g,0.24 µg,0.5 µg,120 mg,,,,0.8 g,,0.21 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-ikaffe-popcorn-1000ml-oatly/2169081
Mellanmål Jordgubb 175g Risifrutti,"16,90 kr","0.175kg 96,57 kr/kg",112 kcal,470 kJ,3.4 g,2.6 g,17 g,10 g,3.1 g,0.15 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanm%C3%A5l-jordgubb-175g-risifrutti/1023582
Barista For Professionals Kokosnöt 1l Alpro,"32,90 kr","1L 32,90 kr/l",33 kcal,139 kJ,1.4 g,0.7 g,3.3 g,3.3 g,1.5 g,0.1 g,,,120 mg,,0.2 g,,0.2 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/barista-for-professionals-kokosn%C3%B6t-1l-alpro/2063452
Sojadryck High Protein Chokladsmak 1l Alpro,"30,90 kr","1L 30,90 kr/l",69 kcal,291 kJ,2.8 g,0.6 g,5.3 g,5 g,5 g,0.16 g,,0.75 µg,120 mg,1.6 g,0.6 g,,1.3 g,,0.21 mg,,,,,,,,0.06 g,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sojadryck-high-protein-chokladsmak-1l-alpro/2053257
Kvarg Citron Laktosfri 7% 200g Valio,"20,90 kr","0.2kg 104,50 kr/kg",153 kcal,643 kJ,7 g,4.1 g,15 g,15 g,7.2 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-citron-laktosfri-7-200g-valio/1470802
"Kvarg Mild Hallon 0,2% Laktosfri 1000g Arla®","35,00 kr","1kg 35,00 kr/kg",60 kcal,260 kJ,0.2 g,0.1 g,4.4 g,3.8 g,9.5 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-mild-hallon-0-2-laktosfri-1000g-arla/2096737
Mesost Gudbrandsdalen 29% 500g Wernersson Ost,"80,00 kr","0.5kg 160,00 kr/kg",441 kcal,1835 kJ,28 g,19 g,35 g,30 g,10 g,0.7 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mesost-gudbrandsdalen-29-500g-wernersson-ost/1267914
Saganaki 34% 150g Fontana,"58,00 kr","0.15kg 386,67 kr/kg",417 kcal,1747 kJ,34 g,23 g,0.5 g,0.5 g,27 g,1.7 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/saganaki-34-150g-fontana/1506648
Jäst för matbröd 50g Kronjäst,"4,90 kr","0.05kg 98,00 kr/kg",108 kcal,452 kJ,1.7 g,0.3 g,6 g,4.4 g,13 g,0.05 g,,,,,,,8.1 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/j%C3%A4st-f%C3%B6r-matbr%C3%B6d-50g-kronj%C3%A4st/1023357
Crème fraiche 32% 2dl Arla Köket®,"20,90 kr","0.2L 104,50 kr/l",310 kcal,1300 kJ,32 g,20 g,2.4 g,2.4 g,2.4 g,0.1 g,,,,,,300 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cr%C3%A8me-fraiche-32-2dl-arla-k%C3%B6ket/1201468
Gräddfil 12% 3dl Arla Ko®,"19,90 kr","0.3L 66,33 kr/l",140 kcal,550 kJ,12 g,7.7 g,3.4 g,3.4 g,3.1 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddfil-12-3dl-arla-ko/1428019
Yoghurt Blue Boost Blåbär Granatäpple 3% 1000g Verum,"38,90 kr","1kg 38,90 kr/kg",80 kcal,320 kJ,3 g,1.9 g,8.3 g,7.9 g,3.1 g,0.1 g,,0.88 µg,130 mg,,,,,13 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-blue-boost-bl%C3%A5b%C3%A4r-granat%C3%A4pple-3-1000g-verum/2151642
"Grekisk Yoghurt Mango 4,8% 150g Valio","15,90 kr","0.15kg 106,00 kr/kg",117 kcal,492 kJ,4.8 g,2.8 g,13 g,12 g,4.9 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grekisk-yoghurt-mango-4-8-150g-valio/2101653
Veganost Vegoumi 100g Vegoumi,"29,90 kr","0.1kg 299,00 kr/kg",204 kcal,854 kJ,11 g,7 g,24 g,1 g,1.4 g,2.3 g,2.5 µg,,,,,,1.4 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/veganost-vegoumi-100g-vegoumi/2141887
"Standardmjölk 3,0% Ekologisk 3dl Arla Ko®","10,90 kr","0.3L 36,33 kr/l",59 kcal,248 kJ,3 g,1.9 g,4.6 g,4.6 g,3.5 g,0.09 g,0.4 µg,1 µg,124 mg,,,,,,0.14 mg,,0.5 mg,160 mg,92 mg,139 mg,3.8 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/standardmj%C3%B6lk-3-0-ekologisk-3dl-arla-ko/1338732
Färskost Original Laktosfri 175g Philadelphia,"38,90 kr","0.175kg 222,29 kr/kg",221 kcal,915 kJ,21 g,14 g,3.2 g,3.2 g,5.4 g,0.85 g,,,,,,,0.2 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rskost-original-laktosfri-175g-philadelphia/1454620
Lättdryck Vattenmelon & hallon Koncentrat 2dl BOB,"11,90 kr","1L 11,90 kr/l drickklar",30 kcal,110 kJ,0 g,0 g,6.5 g,6.5 g,0 g,0 g,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttdryck-vattenmelon-hallon-koncentrat-2dl-bob/1471391
Ost Mellanlagrad Folke 31% ca 750g ICA,Ca,"Ca 0.75kg 175,00 kr/kg",380 kcal,1600 kJ,31 g,20 g,0 g,0 g,26 g,1.2 g,,,710 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ost-mellanlagrad-folke-31-ca-750g-ica/2002077
Yoghurt Original Skogsbär 2% 1000g Yoggi®,"36,90 kr","1kg 36,90 kr/kg",80 kcal,350 kJ,2 g,1.3 g,12 g,11 g,3.4 g,0.1 g,,0.93 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-original-skogsb%C3%A4r-2-1000g-yoggi/1202446
Protein Mjölkdryck Blåbär 5dl Arla®,"22,90 kr","0.5L 45,80 kr/l",45 kcal,189 kJ,0.5 g,0.3 g,4.7 g,4.7 g,5.3 g,0.09 g,0.44 µg,1 µg,176 mg,,,,,,0.14 mg,,0.51 mg,158 mg,100 mg,169 mg,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/protein-mj%C3%B6lkdryck-bl%C3%A5b%C3%A4r-5dl-arla/1486318
Brie 200g ICA,"40,90 kr","0.2kg 204,50 kr/kg",357 kcal,1478 kJ,32 g,21 g,1 g,1 g,17 g,1.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/brie-200g-ica/1432240
Yoghurt Turkisk Naturell 10% 1000g Salakis,"48,90 kr","1kg 48,90 kr/kg",129 kcal,528 kJ,10 g,6.6 g,5.1 g,5.1 g,4.2 g,0.13 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-turkisk-naturell-10-1000g-salakis/1128801
"Mellanmjölkdryck Laktosfri Lång hållbarhet 1,5% 1l Arla®","26,90 kr","1L 26,90 kr/l",40 kcal,160 kJ,1.5 g,1 g,2.5 g,2.5 g,3.4 g,0.1 g,0.4 µg,1 µg,110 mg,,,,,,0.12 mg,21 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanmj%C3%B6lkdryck-laktosfri-l%C3%A5ng-h%C3%A5llbarhet-1-5-1l-arla/1250894
Cottage Cheese Mellanmål Hasselnötter blåbär & tranbär 150g KESO®,"30,90 kr","0.145kg 213,10 kr/kg",143 kcal,600 kJ,6.5 g,1.3 g,8 g,6.9 g,13 g,0.68 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cottage-cheese-mellanm%C3%A5l-hasseln%C3%B6tter-bl%C3%A5b%C3%A4r-tranb%C3%A4r-150g-keso/1395609
Måltidsdryck Fläder 2dl ICA,"8,90 kr","1L 8,90 kr/l drickklar",26 kcal,111 kJ,0 g,0 g,6.5 g,6.5 g,0 g,0.01 g,,,,,,,,16 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%A5ltidsdryck-fl%C3%A4der-2dl-ica/1514886
Lättdryck Svartvinbär Koncentrat 2dl BOB,"11,90 kr","1L 11,90 kr/l drickklar",30 kcal,110 kJ,0 g,0 g,6.2 g,6 g,0 g,0 g,,,,,,,,12 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttdryck-svartvinb%C3%A4r-koncentrat-2dl-bob/1023242
Riven ost 500g ICA Basic,"66,00 kr","0.5kg 132,00 kr/kg",350 kcal,1450 kJ,28 g,19 g,1.7 g,0 g,23 g,1.9 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/riven-ost-500g-ica-basic/1486362
Apelsinjuice med fruktkött 900ml Tropicana,"46,90 kr","0.9L 52,11 kr/l exkl pant",41 kcal,172 kJ,0 g,0 g,9 g,8 g,0.8 g,0.8 g,,,,,,,0.6 g,31 mg,,,,,,,,,,,,,,13 µg,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/apelsinjuice-med-fruktk%C3%B6tt-900ml-tropicana/2038984
"Proteinmousse Choklad 1,8% Laktosfri 150g Valio PROfeel®","22,90 kr","0.15kg 152,67 kr/kg",89 kcal,376 kJ,1.8 g,1 g,5.7 g,4.9 g,12 g,0.3 g,,,300 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinmousse-choklad-1-8-laktosfri-150g-valio-profeel/2096433
Präst mellanlagrad skivad 31% 150g Arla Ko,"43,90 kr","0.15kg 292,67 kr/kg",384 kcal,1594 kJ,31 g,20 g,0 g,0 g,25 g,1.2 g,1.4 µg,,756 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pr%C3%A4st-mellanlagrad-skivad-31-150g-arla-ko/1131577
Smör Osaltat Svenskt 82% 250g Arla,"60,00 kr","0.25kg 240,00 kr/kg",747 kcal,3071 kJ,82 g,53 g,0.7 g,0.7 g,0.6 g,0 g,,,,1.9 g,21 g,731 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6r-osaltat-svenskt-82-250g-arla/1312004
Pecorino Färskriven 100g Zeta,"47,90 kr","0.1kg 479,00 kr/kg",436 kcal,1808 kJ,36 g,24 g,0.5 g,0.5 g,28 g,4.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pecorino-f%C3%A4rskriven-100g-zeta/1367986
iMat Visp 23% 250ml Oatly,"22,90 kr","0.25L 91,60 kr/l",253 kcal,1045 kJ,23 g,22 g,11 g,2.3 g,0.5 g,0.21 g,,,,,,,0.5 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/imat-visp-23-250ml-oatly/2063023
Yoghurt Turkisk Extra krämig 17% 500g Salakis,"43,90 kr","0.5kg 87,80 kr/kg",183 kcal,758 kJ,17 g,11.1 g,4.2 g,4.2 g,3.4 g,0.08 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-turkisk-extra-kr%C3%A4mig-17-500g-salakis/1408363
"Småmål Kokos med hallon Laktosfri 4,9% 120g Alpro","20,90 kr","0.12kg 174,17 kr/kg",93 kcal,388 kJ,4.9 g,4.5 g,11.1 g,6.5 g,0.6 g,0.05 g,,,,,,,0.8 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%A5m%C3%A5l-kokos-med-hallon-laktosfri-4-9-120g-alpro/2169087
"Kefir Naturell Laktosfri 2,5% 1000g Arla Cultura®","29,90 kr","1kg 29,90 kr/kg",54 kcal,228 kJ,2.5 g,1.6 g,3.7 g,3.7 g,3.5 g,0.09 g,,1 µg,123 mg,,,,,,,,,,,138 mg,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kefir-naturell-laktosfri-2-5-1000g-arla-cultura/2085740
"Kvarg Mild Blåbär Laktosfri 0,2% 1000g Arla®","35,00 kr","1kg 35,00 kr/kg",60 kcal,260 kJ,0.2 g,0.1 g,4.5 g,3.9 g,9.5 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-mild-bl%C3%A5b%C3%A4r-laktosfri-0-2-1000g-arla/2096738
"Mild Yoghurt Hallon 1,5% lättsockrad 1000g Arla Ko®","37,90 kr","1kg 37,90 kr/kg",64 kcal,272 kJ,1.5 g,0.9 g,8.2 g,7.8 g,3.8 g,0.08 g,,0.92 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mild-yoghurt-hallon-1-5-l%C3%A4ttsockrad-1000g-arla-ko/2044826
Messmör Original 5% 250g Fjällbrynt,"35,90 kr","0.25kg 143,60 kr/kg",260 kcal,1100 kJ,5 g,3.2 g,47 g,47 g,6.9 g,1.6 g,,,280 mg,,,,,,,,,,,,,,,,,,,,5 mg,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/messm%C3%B6r-original-5-250g-fj%C3%A4llbrynt/1468873
Proteinmilkshake Kaffe Karamell 330ml Barebells,"33,90 kr","0.33L 102,73 kr/l",60 kcal,252 kJ,1.5 g,1 g,4 g,3.7 g,7.3 g,0.21 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinmilkshake-kaffe-karamell-330ml-barebells/2149773
Fruktdryck Äpple Päron Passionsfrukt 850ml God Morgon®,"47,90 kr","0.85L 56,35 kr/l exkl pant",46 kcal,192 kJ,0 g,0 g,11 g,10 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-%C3%A4pple-p%C3%A4ron-passionsfrukt-850ml-god-morgon/2151835
"Proteinyoghurt Vanilj Laktosfri 2,1% 1000g Lindahls","37,90 kr","1kg 37,90 kr/kg",50 kcal,230 kJ,2.1 g,1.2 g,3.7 g,3.4 g,5.2 g,0.1 g,,0.9 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinyoghurt-vanilj-laktosfri-2-1-1000g-lindahls/2118330
Munkens Svarta mellan 31% ca 500g Wästgöta Kloster,Ca,"Ca 0.5kg 216,00 kr/kg",384 kcal,1594 kJ,31 g,20 g,0 g,0 g,25 g,1.2 g,1.4 µg,,756 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/munkens-svarta-mellan-31-ca-500g-w%C3%A4stg%C3%B6ta-kloster/1334568
Rödbetsjuice KRAV 750ml Kung Markatta,"67,00 kr","0.75L 89,33 kr/l",40 kcal,160 kJ,0 g,0 g,8 g,7.5 g,1 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%B6dbetsjuice-krav-750ml-kung-markatta/1492538
Matlagningsbas Havre 13% 500ml ICA,"21,90 kr","0.5L 43,80 kr/l",146 kcal,612 kJ,13 g,1.5 g,7 g,3.2 g,0.7 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/matlagningsbas-havre-13-500ml-ica/2139638
"Kvarg Mild Naturell 0,2% Laktosfri 1000g Arla®","35,00 kr","1kg 35,00 kr/kg",60 kcal,280 kJ,0.2 g,0.1 g,4 g,4 g,11 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-mild-naturell-0-2-laktosfri-1000g-arla/2096740
Köksägg L 4-p ICA,"19,90 kr","4 per frp 4,98 kr/st",140 kcal,600 kJ,9.7 g,2.6 g,0.5 g,0.5 g,12 g,0.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ks%C3%A4gg-l-4-p-ica/1374089
"Färsk lättmjölk 0,5% 1l Arla Ko®","17,90 kr","1L 17,90 kr/l",38 kcal,160 kJ,0.5 g,0.3 g,4.7 g,4.7 g,3.6 g,0.09 g,0.4 µg,1 µg,124 mg,,,,,,0.14 mg,,0.5 mg,160 mg,92 mg,139 mg,3.8 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rsk-l%C3%A4ttmj%C3%B6lk-0-5-1l-arla-ko/1201482
Juice Tropisk 1l Bravo,"32,90 kr","1L 32,90 kr/l",47 kcal,198 kJ,0 g,0 g,11 g,10 g,0.3 g,0 g,,,,,,,0.2 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-tropisk-1l-bravo/1437721
Kokosdryck Laktosfri 1l ICA,"26,90 kr","1L 26,90 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kokosdryck-laktosfri-1l-ica/1514316
Lemonade 1l God Morgon®,"36,90 kr","1L 36,90 kr/l",32 kcal,134 kJ,0 g,0 g,7.3 g,6.8 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lemonade-1l-god-morgon/1464052
Juice Äpple Grapefrukt Yuzu 850ml Brämhults,"64,00 kr","0.85L 75,29 kr/l exkl pant",44 kcal,184 kJ,0 g,0 g,11 g,9.9 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-%C3%A4pple-grapefrukt-yuzu-850ml-br%C3%A4mhults/2168313
Havredryck Choklad 1l ICA,"21,90 kr","1L 21,90 kr/l",55 kcal,229 kJ,1.5 g,0.5 g,8.5 g,4.7 g,1.2 g,0.1 g,0.38 µg,1.1 µg,120 mg,,,,1.1 g,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-choklad-1l-ica/2035616
Äpplejuice 2l Bravo,"53,00 kr","2L 26,50 kr/l",45 kcal,180 kJ,0 g,0 g,9.5 g,9.5 g,0 g,0 g,,,,,,,0.2 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4pplejuice-2l-bravo/1364741
Mellanmål XL Jordgubb 225g RisiFrutti,"19,90 kr","0.225kg 88,44 kr/kg",112 kcal,471 kJ,3.4 g,2.6 g,17 g,10 g,3.1 g,0.15 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanm%C3%A5l-xl-jordgubb-225g-risifrutti/1363394
"Yoghurt Mild Jordgubb Lättsockrad 1,5% 1000g Arla Ko®","37,90 kr","1kg 37,90 kr/kg",64 kcal,268 kJ,1.5 g,0.9 g,8.1 g,7.8 g,3.8 g,0.08 g,,0.92 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-mild-jordgubb-l%C3%A4ttsockrad-1-5-1000g-arla-ko/2044877
Färsk vispgrädde 40% 5dl Arla Ko®,"51,00 kr","0.5L 102,00 kr/l",375 kcal,1565 kJ,40 g,26 g,2.9 g,2.9 g,2.2 g,0.05 g,,,,,,344 µg,,,,,,,,,,13 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rsk-vispgr%C3%A4dde-40-5dl-arla-ko/1201829
Ägg M/L KRAV 12-p ICA I love eco,"62,00 kr","12 per frp 5,17 kr/st",140 kcal,600 kJ,10 g,3 g,0.5 g,0 g,12 g,0.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4gg-m-l-krav-12-p-ica-i-love-eco/1455334
Kvarg Mild Vanilj Laktosfri 0.2% 450g Arla®,"29,90 kr","0.45kg 66,44 kr/kg",60 kcal,250 kJ,0.2 g,0.1 g,4 g,3.5 g,9.7 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-mild-vanilj-laktosfri-0-2-450g-arla/2156805
Cheez Dippers 5 styck Den skrattande kon,"37,90 kr","0.175kg 216,57 kr/kg",263 kcal,1101 kJ,13 g,7.5 g,25.5 g,5.5 g,10.5 g,1.3 g,,,570 mg,,,,1 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cheez-dippers-5-styck-den-skrattande-kon/2107162
Danablu Blåmögelost Extra krämig 36% 125g Castello®,"40,90 kr","0.125kg 327,20 kr/kg",400 kcal,1653 kJ,37 g,23 g,0.5 g,0.5 g,17 g,3.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/danablu-bl%C3%A5m%C3%B6gelost-extra-kr%C3%A4mig-36-125g-castello/1390221
Fruktdryck Fruit Crush Orange 1l God Morgon®,"29,90 kr","1L 29,90 kr/l",30 kcal,125 kJ,0 g,0 g,6.7 g,6.3 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-fruit-crush-orange-1l-god-morgon/2118437
Fruktdryck Drakfrukt Guava Calamansi 1000ml Proviva,"47,90 kr","1L 47,90 kr/l",39 kcal,161 kJ,0.1 g,0 g,9.1 g,8.1 g,0.3 g,0.05 g,,,,,,,0.3 g,40 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-drakfrukt-guava-calamansi-1000ml-proviva/2141587
"Mild Yoghurt Mango 1,5% lättsockrad 1000g Arla Ko®","37,90 kr","1kg 37,90 kr/kg",66 kcal,278 kJ,1.5 g,0.9 g,8.6 g,8.4 g,3.7 g,0.08 g,,0.92 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mild-yoghurt-mango-1-5-l%C3%A4ttsockrad-1000g-arla-ko/2044914
Fruktdryck Nypon 1l Proviva,"43,90 kr","1L 43,90 kr/l",53 kcal,225 kJ,0.1 g,0 g,13 g,11 g,0.2 g,0.03 g,,,,,,,0.5 g,35 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-nypon-1l-proviva/2038931
"Havredryck Mellan 1,5% 1l Oatly","22,90 kr","1L 22,90 kr/l",48 kcal,200 kJ,1.5 g,0.2 g,7 g,3.4 g,1.1 g,0.1 g,0.24 µg,1.1 µg,120 mg,,,,0.8 g,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-mellan-1-5-1l-oatly/2107757
Tranbärsdryck Drickfärdig 1l ICA,"32,90 kr","1L 32,90 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tranb%C3%A4rsdryck-drickf%C3%A4rdig-1l-ica/1449616
"Yoghurt Blåbär 2,7% 250g Bärry","15,90 kr","0.25kg 63,60 kr/kg",80 kcal,350 kJ,2.6 g,1.6 g,12 g,12 g,3 g,0.1 g,,0.85 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-bl%C3%A5b%C3%A4r-2-7-250g-b%C3%A4rry/1431613
Mellanmål Jordgubb Laktosfri 165g Risifrutti,"18,90 kr","0.165kg 114,55 kr/kg",110 kcal,460 kJ,4.4 g,2.8 g,15 g,8.5 g,2.1 g,0.12 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanm%C3%A5l-jordgubb-laktosfri-165g-risifrutti/1413755
Gräddfil 12% 3dl ICA,"17,90 kr","0.3L 59,67 kr/l",140 kcal,550 kJ,12 g,7.7 g,3.4 g,3.4 g,3.1 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddfil-12-3dl-ica/1295213
Sojadryck Protein Vanilj 1000ml Alpro,"30,90 kr","1L 30,90 kr/l",67 kcal,281 kJ,2.8 g,0.5 g,4.8 g,4.8 g,5 g,0.12 g,0.38 µg,0.75 µg,120 mg,,,,0.9 g,,0.21 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sojadryck-protein-vanilj-1000ml-alpro/2134414
Färskost Vitlök & örter Light 11% 200g Philadelphia,"29,90 kr","0.2kg 149,50 kr/kg",141 kcal,586 kJ,9.9 g,6.7 g,5.3 g,5.2 g,7.1 g,1 g,,,,,,,0.5 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rskost-vitl%C3%B6k-%C3%B6rter-light-11-200g-philadelphia/1024258
